Task,RF_AUC,GNN_AUC,Hybrid_AUC
NR-AhR,0.7672239472524104,0.7602073869626051,0.7793715140014951
NR-AR,0.7450229812545061,0.6873512977649604,0.7369333543619321
NR-AR-LBD,0.7471442689297088,0.6335001333354249,0.7457183642096347
NR-ER,0.6382739710538218,0.6256744685662596,0.656968000904568
NR-ER-LBD,0.7140109618803081,0.6943536440845349,0.726982520244914
NR-PPAR-gamma,0.6725574071318752,0.669853196448941,0.6365049843773247
SR-ARE,0.6234874836298724,0.6007148636587339,0.6244296522442714
SR-ATAD5,0.6647386835775202,0.6894762737808877,0.6948611414826154
SR-HSE,0.5817387700200201,0.6587329517017018,0.6261636636636637
SR-MMP,0.7307989130434782,0.7143759057971014,0.754871829710145
SR-p53,0.6534470504619758,0.6356093681253596,0.6707409663699642
NR-Aromatase,0.5764628277464321,0.5979074012612016,0.5970494523730501
AVERAGE,0.6762422721651608,0.6639797409573093,0.6875496203286314
